wallet_address,EmployeeID,Name,Department,Role,Attendance (%),WorkHours (avg/week),PerformanceScore (0–100),ProjectCompletionRate (%),BehaviourScore (0–100),SkillScore (0–100),ExperienceYears,TrainingCompleted (Yes/No),CertificationsCount,ReputationScore (weighted composite),AppraisalEligibility (Yes/No),PreviousAppraisals,EmployeeWalletAddress,ReviewerWalletAddress,DAOEligible (Yes/No),appraisal_year,eligible,sbt_token_id,zk_proof_hash,hr_signature,BaseSalary_masked,ProposedSalaryIncrement (%)_masked,zk_input_commitment
0xcf37173bcc4a4b8d738c47b3eefe060b3dda9e52,EMP1000,RBDBD RBDAML,HR,Lead,64,47,3,90,74,58,7,No,2,33.6,No,2,0x665688320c63f76ae4b19cb5965d395e1deb1dd6,0xe3d9c08cdd3bf83cd2067e8108bdd0d959f55112,No,2026,False,1,zkproof_0001_hash,HR_SIGN_0001,CONFIDENTIAL,CONFIDENTIAL,23d4ea39956f80cf4ea540cdb9c70e2424bb2eaa159b8bb17c98e250bb7d8921
0xd63d630861a3c7ad1f06a9aaecb6d8753908ae8c,EMP1001,ENKHJ SXXYOI,HR,Developer,82,50,78,57,89,66,8,No,8,69.6,No,2,0x8b8f4379852b4cf1332e995deb481a5fb4455b6e,0x15077ac55dfba9c41879eaa1d024f2629b3c454b,No,2026,True,2,zkproof_0002_hash,HR_SIGN_0002,CONFIDENTIAL,CONFIDENTIAL,1a29fb1cb3cc7e4faf6cc74a71751c132812dc65daa7ca00b8120484e18ec77b
0x8a975e5a8fe756485316bcf76d270eae03b84777,EMP1002,LZIUC ZGQVHQ,Operations,Developer,88,34,5,81,66,52,13,Yes,4,31.2,No,0,0xc5e8e973c56f11ea5c8c11a76fef6477dfeb1a3c,0x1b9bd687a025c90b7e8f1689eaad48a031f5282e,No,2026,False,3,zkproof_0003_hash,HR_SIGN_0003,CONFIDENTIAL,CONFIDENTIAL,518b5f6ddf671a8b5dad023f4badb67359dcf5b32eb63015484de6fdf77e0f45
0x0e9d2e52fb97e95051386fcb576c0bc94809d721,EMP1003,RHSCH RBBCGZ,R&D,Developer,97,58,87,67,97,42,1,No,0,66.8,No,1,0x16e708b08d981e44f73fc4809eb67c3a32b31e53,0x8647e428e8e6dcd64563972facfe64e7e35a9dd5,No,2026,True,4,zkproof_0004_hash,HR_SIGN_0004,CONFIDENTIAL,CONFIDENTIAL,c3332e628d1cfc80ae6c1ff509730aa34850e9b73802bb00c163569e5781cca1
0x84d62ce0f94277fd07d92f7deafde7a3e3c029bc,EMP1004,TZZCY YUUWGJ,Marketing,Coordinator,87,48,22,91,83,91,9,No,6,53.3,No,2,0x9869c70ae2668102de89b45ad98c93acc3923e60,0x45eadadca969d0128a0f948907be80d26635435b,No,2026,False,5,zkproof_0005_hash,HR_SIGN_0005,CONFIDENTIAL,CONFIDENTIAL,bd4464867a5b80236cf72a9ad0da8377383239e97dcbf7d4293a084c8726e273
0x80fe01a81f9d3c617ef69d9eedebd711afe8992a,EMP1005,QCNHB HHUPTZ,IT,Analyst,89,36,99,85,68,96,23,Yes,1,82.1,Yes,3,0x74a3c41965ab5fcae156437d760242d57122834b,0x5f24baf6cf2acce2160c41499d8097a260c4ac4d,Yes,2026,True,6,zkproof_0006_hash,HR_SIGN_0006,CONFIDENTIAL,CONFIDENTIAL,c4a5a8ef707693c84f4bd14c476ea4335664f353370e6005fc049427dd840a1c
0x68afdcd52ac5e783a2b0af237b31dd8f3edd98c2,EMP1006,PXMMS EJJISW,Engineering,Developer,87,36,77,75,95,52,13,Yes,8,66.2,No,0,0x81812bbd6fc7177e0a75bf19d5ea7102cfc6e522,0x1a465b2be540e215447035c76de77072a1492ae7,No,2026,True,7,zkproof_0007_hash,HR_SIGN_0007,CONFIDENTIAL,CONFIDENTIAL,a1902f6603da27a5d82e57f9ec8db4e0fdfb6256803c9a73ba5bb6de5a893224
0xbd008615f8bef68b7c70b92a77907a65256d9f0c,EMP1007,ZDZMJ KJKHLN,Finance,Developer,60,36,40,81,63,75,16,No,3,51.4,No,3,0xc854ef12d4c120c432235efde173697211514430,0x6de2321f31454eb61c7b714aebd5e8934f4d4e6b,No,2026,False,8,zkproof_0008_hash,HR_SIGN_0008,CONFIDENTIAL,CONFIDENTIAL,4c905d0f67b2dd9f5e6034c7b1722c1575ae8a22873fb5d14482cb439d2886b4
0xadb94db88315ced47f7f67c3cbccba95c4599d07,EMP1008,MVXBT CQOALZ,Engineering,Intern,81,41,51,64,64,60,3,Yes,5,51.7,No,3,0x7d247c52176f2243975b8a8f74f98ea5235f8463,0xb432f9785b747db67dae9f0a2efed368e8cbfe93,No,2026,True,9,zkproof_0009_hash,HR_SIGN_0009,CONFIDENTIAL,CONFIDENTIAL,cf2895eca7e6fbc38fcf43ef0f6e9964b99a0df5bd2a4f1974661f90341dd9ee
0x2172c627fb736153b37c0c0c0d0c4e54fb3a9970,EMP1009,NKPZN AJIZAF,Operations,Developer,87,30,45,69,93,67,5,No,8,57.5,No,1,0xcbf79783dbb54f36b03e1bbe8cdb429c52ae4abb,0xd9ff66f1b1922ecfbe520e579e3aab116936f88c,No,2026,False,10,zkproof_0010_hash,HR_SIGN_0010,CONFIDENTIAL,CONFIDENTIAL,7a347e873465e0e7b77c3e677009b144cb0f6b62a421fd91185501bb618eaffc
