wallet_address,EmployeeID,Name,Department,Role,BaseSalary,Attendance (%),WorkHours (avg/week),PerformanceScore (0–100),ProjectCompletionRate (%),BehaviourScore (0–100),SkillScore (0–100),ExperienceYears,TrainingCompleted (Yes/No),CertificationsCount,ReputationScore (weighted composite),AppraisalEligibility (Yes/No),ProposedSalaryIncrement (%),PreviousAppraisals,EmployeeWalletAddress,ReviewerWalletAddress,DAOEligible (Yes/No),appraisal_year,eligible,sbt_token_id,zk_proof_hash,hr_signature
0x0000000000000000000000000000000000000001,EMP1000,RBDBD RBDAML,HR,Lead,121166,64,47,3,90,74,58,7,No,2,33.6,No,0,2,0x665688320c63f76ae4b19cb5965d395e1deb1dd6,0xe3d9c08cdd3bf83cd2067e8108bdd0d959f55112,No,2026,False,1,zkproof_0001_hash,HR_SIGN_0001
0x0000000000000000000000000000000000000002,EMP1001,ENKHJ SXXYOI,HR,Developer,128069,82,50,78,57,89,66,8,No,8,69.6,No,0,2,0x8b8f4379852b4cf1332e995deb481a5fb4455b6e,0x15077ac55dfba9c41879eaa1d024f2629b3c454b,No,2026,True,2,zkproof_0002_hash,HR_SIGN_0002
0x0000000000000000000000000000000000000003,EMP1002,LZIUC ZGQVHQ,Operations,Developer,94995,88,34,5,81,66,52,13,Yes,4,31.2,No,0,0,0xc5e8e973c56f11ea5c8c11a76fef6477dfeb1a3c,0x1b9bd687a025c90b7e8f1689eaad48a031f5282e,No,2026,False,3,zkproof_0003_hash,HR_SIGN_0003
0x0000000000000000000000000000000000000004,EMP1003,RHSCH RBBCGZ,R&D,Developer,92422,97,58,87,67,97,42,1,No,0,66.8,No,0,1,0x16e708b08d981e44f73fc4809eb67c3a32b31e53,0x8647e428e8e6dcd64563972facfe64e7e35a9dd5,No,2026,True,4,zkproof_0004_hash,HR_SIGN_0004
0x0000000000000000000000000000000000000005,EMP1004,TZZCY YUUWGJ,Marketing,Coordinator,104502,87,48,22,91,83,91,9,No,6,53.3,No,0,2,0x9869c70ae2668102de89b45ad98c93acc3923e60,0x45eadadca969d0128a0f948907be80d26635435b,No,2026,False,5,zkproof_0005_hash,HR_SIGN_0005
0x0000000000000000000000000000000000000006,EMP1005,QCNHB HHUPTZ,IT,Analyst,82127,89,36,99,85,68,96,23,Yes,1,82.1,Yes,9,3,0x74a3c41965ab5fcae156437d760242d57122834b,0x5f24baf6cf2acce2160c41499d8097a260c4ac4d,Yes,2026,True,6,zkproof_0006_hash,HR_SIGN_0006
0x0000000000000000000000000000000000000007,EMP1006,PXMMS EJJISW,Engineering,Developer,60311,87,36,77,75,95,52,13,Yes,8,66.2,No,0,0,0x81812bbd6fc7177e0a75bf19d5ea7102cfc6e522,0x1a465b2be540e215447035c76de77072a1492ae7,No,2026,True,7,zkproof_0007_hash,HR_SIGN_0007
0x0000000000000000000000000000000000000008,EMP1007,ZDZMJ KJKHLN,Finance,Developer,131234,60,36,40,81,63,75,16,No,3,51.4,No,0,3,0xc854ef12d4c120c432235efde173697211514430,0x6de2321f31454eb61c7b714aebd5e8934f4d4e6b,No,2026,False,8,zkproof_0008_hash,HR_SIGN_0008
0x0000000000000000000000000000000000000009,EMP1008,MVXBT CQOALZ,Engineering,Intern,90964,81,41,51,64,64,60,3,Yes,5,51.7,No,0,3,0x7d247c52176f2243975b8a8f74f98ea5235f8463,0xb432f9785b747db67dae9f0a2efed368e8cbfe93,No,2026,True,9,zkproof_0009_hash,HR_SIGN_0009
0x0000000000000000000000000000000000000010,EMP1009,NKPZN AJIZAF,Operations,Developer,101966,87,30,45,69,93,67,5,No,8,57.5,No,0,1,0xcbf79783dbb54f36b03e1bbe8cdb429c52ae4abb,0xd9ff66f1b1922ecfbe520e579e3aab116936f88c,No,2026,False,10,zkproof_0010_hash,HR_SIGN_0010
