wallet_address,EmployeeID,Name,Department,Role,Attendance (%),WorkHours (avg/week),PerformanceScore (0–100),ProjectCompletionRate (%),BehaviourScore (0–100),SkillScore (0–100),ExperienceYears,TrainingCompleted (Yes/No),CertificationsCount,ReputationScore (weighted composite),AppraisalEligibility (Yes/No),PreviousAppraisals,EmployeeWalletAddress,ReviewerWalletAddress,DAOEligible (Yes/No),appraisal_year,eligible,sbt_token_id,zk_proof_hash,hr_signature,BaseSalary_masked,ProposedSalaryIncrement (%)_masked,zk_input_commitment
0xd63d630861a3c7ad1f06a9aaecb6d8753908ae8c,EMP1001,ENKHJ SXXYOI,HR,Developer,82,50,78,57,89,66,8,No,8,69.6,No,2,0x8b8f4379852b4cf1332e995deb481a5fb4455b6e,0x15077ac55dfba9c41879eaa1d024f2629b3c454b,No,2026,True,2,zkproof_0002_hash,HR_SIGN_0002,CONFIDENTIAL,CONFIDENTIAL,1a29fb1cb3cc7e4faf6cc74a71751c132812dc65daa7ca00b8120484e18ec77b
0x0e9d2e52fb97e95051386fcb576c0bc94809d721,EMP1003,RHSCH RBBCGZ,R&D,Developer,97,58,87,67,97,42,1,No,0,66.8,No,1,0x16e708b08d981e44f73fc4809eb67c3a32b31e53,0x8647e428e8e6dcd64563972facfe64e7e35a9dd5,No,2026,True,4,zkproof_0004_hash,HR_SIGN_0004,CONFIDENTIAL,CONFIDENTIAL,c3332e628d1cfc80ae6c1ff509730aa34850e9b73802bb00c163569e5781cca1
0x80fe01a81f9d3c617ef69d9eedebd711afe8992a,EMP1005,QCNHB HHUPTZ,IT,Analyst,89,36,99,85,68,96,23,Yes,1,82.1,Yes,3,0x74a3c41965ab5fcae156437d760242d57122834b,0x5f24baf6cf2acce2160c41499d8097a260c4ac4d,Yes,2026,True,6,zkproof_0006_hash,HR_SIGN_0006,CONFIDENTIAL,CONFIDENTIAL,c4a5a8ef707693c84f4bd14c476ea4335664f353370e6005fc049427dd840a1c
0x68afdcd52ac5e783a2b0af237b31dd8f3edd98c2,EMP1006,PXMMS EJJISW,Engineering,Developer,87,36,77,75,95,52,13,Yes,8,66.2,No,0,0x81812bbd6fc7177e0a75bf19d5ea7102cfc6e522,0x1a465b2be540e215447035c76de77072a1492ae7,No,2026,True,7,zkproof_0007_hash,HR_SIGN_0007,CONFIDENTIAL,CONFIDENTIAL,a1902f6603da27a5d82e57f9ec8db4e0fdfb6256803c9a73ba5bb6de5a893224
0xadb94db88315ced47f7f67c3cbccba95c4599d07,EMP1008,MVXBT CQOALZ,Engineering,Intern,81,41,51,64,64,60,3,Yes,5,51.7,No,3,0x7d247c52176f2243975b8a8f74f98ea5235f8463,0xb432f9785b747db67dae9f0a2efed368e8cbfe93,No,2026,True,9,zkproof_0009_hash,HR_SIGN_0009,CONFIDENTIAL,CONFIDENTIAL,cf2895eca7e6fbc38fcf43ef0f6e9964b99a0df5bd2a4f1974661f90341dd9ee
0xb6716cd4f919934a2b405fd0579af53841e4e339,EMP1010,QCQYZ GIGUSN,HR,Analyst,98,39,50,89,71,84,20,No,5,59.9,No,1,0xf7f413989026e005ded4ba5e13064c90c88e9d35,0x3e4d3277a390088a390c1ea7fccfa68f4865ef85,No,2026,True,11,zkproof_0011_hash,HR_SIGN_0011,CONFIDENTIAL,CONFIDENTIAL,511dc005f1c1539bd546431958b323d69fbc06bf7d4ea70c24600aef795d3403
0xdc3c3bf52b3b53628fb90d68d81f2a4f062a3f24,EMP1011,YNGKE LOPYGK,Marketing,Engineer,63,36,65,86,55,66,17,No,6,57.4,No,4,0x8a013348bbb8fdc4cbd00e0bf7300c04c873d4a6,0x591ff2d40a1119be7090e4805eb5a6f75f9dfe6c,No,2026,True,12,zkproof_0012_hash,HR_SIGN_0012,CONFIDENTIAL,CONFIDENTIAL,0af9522cd6fda0a4acb3f4a9a356a108586f6ceda3e48d22607a591e0fe2ca40
0xe294dcb825c0b73e9ef5bb14d7647023472708ea,EMP1012,ZDLOB OGBMAP,Operations,Lead,98,53,49,74,61,69,1,No,5,53.0,No,2,0xa839a215da17a9c09263006c0b95e363c19c2580,0x0ae46e47a72a842c12d7155194136e35ac116f85,No,2026,True,13,zkproof_0013_hash,HR_SIGN_0013,CONFIDENTIAL,CONFIDENTIAL,a4a0af412d361b565cdde1d8d40bd8255593d0bc9edd2f955ed76f3b475f3bdd
0x7546d6341f672786cb7ff67870e12b867db96eaf,EMP1015,SRRQH WWQSYB,HR,Analyst,75,35,87,70,77,40,5,Yes,5,62.7,No,4,0xef577d162596932c1f2c5e5cf16a918b2c97ed50,0x190f82c0893f065b6696d3d06224a49522b504f4,No,2026,True,16,zkproof_0016_hash,HR_SIGN_0016,CONFIDENTIAL,CONFIDENTIAL,6d5bcb9606d26fad08ff8a99814d9744ce0e9a904af9724a81ddd2c3680d292c
0x89de5333ad720f9a6cb9a07bc67ba4a2f7beb814,EMP1017,MJYSJ QXAGHQ,IT,Analyst,88,49,86,89,51,77,18,Yes,3,68.0,No,4,0x5c82ec311897f28c028e3c70e9d5ec41cbf77ac3,0x8761faed6b0389d68cfff020683fd1397d285067,No,2026,True,18,zkproof_0018_hash,HR_SIGN_0018,CONFIDENTIAL,CONFIDENTIAL,d4f94184b74e1c41964312feb3cd81482d28415805b98dd63a39ff5cbb52f9d4
0x4e18499694137ca6155d51d3e43b04139bb8a4f9,EMP1018,SUCAL RWAIDS,HR,Lead,74,59,56,80,89,67,17,No,4,60.7,No,3,0x32f80516ad1505f374831c8fa21dfff68407137a,0x5361cfae3d49016c67898a3768fab8c5f56e54c8,No,2026,True,19,zkproof_0019_hash,HR_SIGN_0019,CONFIDENTIAL,CONFIDENTIAL,2202e51631da833053cf1bec991bf761c54768af6a0c555fcf9d2889e7933fd5
0x2e0810dd9e993db3ad3a9d8f5699d87f90b02d14,EMP1021,DNYWU HUABFO,Engineering,Intern,86,43,93,69,67,52,15,Yes,4,66.6,No,3,0xb27422332897b428b530da4a10bf0b1900aeb80e,0x2920b0e814207cc70ff9838b006e5bf34099abd0,No,2026,True,22,zkproof_0022_hash,HR_SIGN_0022,CONFIDENTIAL,CONFIDENTIAL,c164ac1c9698d65d02e6a819b152b1e860bdf4391dc491fdaa169010f7ea6d24
0xa9e64ba0f0949288607bde471fda35d2ec671a3f,EMP1023,QDYXR ORZYVB,Operations,Lead,65,32,52,47,85,43,15,Yes,5,51.2,No,2,0xfdcb9a8e336958dcb69ab050e2f5de09de2112b2,0x81c1bdb16b3499bc0f7f0e4740181bad5c38ae6b,No,2026,True,24,zkproof_0024_hash,HR_SIGN_0024,CONFIDENTIAL,CONFIDENTIAL,69bca9c6658efe5c18e0af6bc16f4dd64ba42b0937461b0490099fc9525c6fb9
0x4a74234878b9f10e37ba40b258636fd8d718058c,EMP1027,SPVVU UHVJBM,Finance,Coordinator,97,48,72,60,59,64,20,Yes,4,60.2,No,0,0x05fc3a99720387910ae6849d67a821da9dbfc278,0x27fb93e7848715a5ceed93130800b38e5a769f5d,No,2026,True,28,zkproof_0028_hash,HR_SIGN_0028,CONFIDENTIAL,CONFIDENTIAL,f1a93708a0dc4de4db07c860878c436c5ec438695c10ab1e47d57dc298f6c0b2
0x9694edf8f0c82fdef7c67d7e26c656230c901587,EMP1030,ZTIMW QCNJYR,Finance,Intern,65,54,61,91,77,71,17,No,4,61.5,No,3,0x149d152c283fea26409fb29bdd5a6ca6febacb5c,0x0899ce52e7c6633ed1bacad28633b0c0d8584c4f,No,2026,True,31,zkproof_0031_hash,HR_SIGN_0031,CONFIDENTIAL,CONFIDENTIAL,5f513b8dda34acfc9eee4d7d33d3bb54aa982a4a396c9ed085de33d5ce00acd8
0x6803f3df08fa5b5ab86d8ea8b30f18bce6d1c5b4,EMP1032,VUZMU FKOIBN,Finance,Analyst,80,55,90,80,92,62,24,Yes,0,73.0,Yes,1,0x38f907c49c62c76607f47aa353d4a8338822c307,0x30aaa9c028218e491033909d16a604023f61bd94,No,2026,True,33,zkproof_0033_hash,HR_SIGN_0033,CONFIDENTIAL,CONFIDENTIAL,16ace3e92eb41145d47ff8e9131ce8244b317502ed829cbda4bc392ad07ad837
0xab63f54f9378645559017e030b64f357e7d10cc0,EMP1034,QQUYX PFCSKE,HR,Engineer,79,54,74,78,55,41,24,No,7,53.6,No,3,0x56b47e44865b078a45c4767abe168edc8ce18c3e,0x314d09ed4c77866a72c495b69f38e43a7189c3d0,No,2026,True,35,zkproof_0035_hash,HR_SIGN_0035,CONFIDENTIAL,CONFIDENTIAL,2c8f851a945279abc5a89e7f4096ce5fc352b313c04dc369c5591480074efba7
0x75277eeb5de7d5fe8738fe01adcf098a4e5dca17,EMP1035,CUTEI HIGNCU,HR,Analyst,96,51,66,50,64,67,6,No,4,59.7,No,4,0x5518d1b68bf2278b16cb4279f0074fbca8c4bb73,0x6298ffc404527b32445276fc61a51d4239a9d015,No,2026,True,36,zkproof_0036_hash,HR_SIGN_0036,CONFIDENTIAL,CONFIDENTIAL,1c9969eebdb8413103f178ff0417b5025bf57774bfd577a3389e8b077a668c76
0x4448c0732f5129a390881b69b21f46c9540945fe,EMP1036,ACAJO IZOYOC,Marketing,Analyst,85,57,50,94,68,87,24,Yes,7,60.4,No,2,0xc5a2db571c399774d7d1d6be5e514109f0584f8f,0xcfb9d0c9db7cc0331110cf12afdb74424dafbc06,No,2026,True,37,zkproof_0037_hash,HR_SIGN_0037,CONFIDENTIAL,CONFIDENTIAL,b3b8100a20d07574b405ed02c275fae4b83c5c675e5e66c5088703ffec381293
0x4c21d6d7e79aa765b71f45eb29f31d4bd8e88ade,EMP1037,PBDVF TYNILF,IT,Analyst,98,31,66,87,93,82,6,Yes,4,70.0,No,3,0xf7cbc2d6e9d2e0de082deec9e69dfbca1868c53a,0x5555fe76e4ae8888076ba3ab8ff48f2b4cea2542,No,2026,True,38,zkproof_0038_hash,HR_SIGN_0038,CONFIDENTIAL,CONFIDENTIAL,a49fe5e7d4b25dfe5b6a387adc544db5bb2962251fb179101f213a8e05f260d5
0x6f36007e429266591f3a592df950cddbfcdf5183,EMP1038,GBOPQ TLAQJS,Marketing,Developer,60,59,85,86,81,65,13,Yes,0,69.7,No,2,0x6c14d7af011f77db449a29cab5300d775f3567cf,0x0858035e132027ae22d663dcfa54b347e034689c,No,2026,True,39,zkproof_0039_hash,HR_SIGN_0039,CONFIDENTIAL,CONFIDENTIAL,eda576f8bdf237a693304fbc1ceaef1f14cd0c323fa53b6432c3262569ce72b3
0x0966f3e21c912133627179b4b814b268635a92f5,EMP1039,KAQZZ LYSAFP,Finance,Manager,63,58,52,52,51,58,16,No,3,48.7,No,3,0xb84ac848c8f04137e00f44a6984e293995ab728d,0xc8d41fd806a08de6ed41f8844fef0c9e5b06ef7b,No,2026,True,40,zkproof_0040_hash,HR_SIGN_0040,CONFIDENTIAL,CONFIDENTIAL,e692d270d1fc77928e25defb6c0cff791d21128ad4728433d9a3610adb1ba75f
0x91de153a33bc057efd29c37e697e8ec94a0031c1,EMP1041,PWMJS FTHNFK,Operations,Lead,95,34,66,40,56,54,17,Yes,4,54.2,No,3,0xe9e613955a3b61faf6e421026355c5086286a384,0x7764eb26d0448668c8faa6e0818676d6543c1392,No,2026,True,42,zkproof_0042_hash,HR_SIGN_0042,CONFIDENTIAL,CONFIDENTIAL,e89c88f6c46f74906cca41790d654db67c86ceba8a7d32cc165d3d8c6b314b4b
0xeebed888c1a27b3764cac08e8b796d44c9b9bdf5,EMP1044,GRKCZ VSXZBP,R&D,Manager,93,34,91,63,58,50,0,Yes,5,63.5,No,4,0xacd40ee3a165f5c18a40b3f235d46589bad4dbec,0xefe231b694c4a76a0257266f1b18157342555bbb,No,2026,True,45,zkproof_0045_hash,HR_SIGN_0045,CONFIDENTIAL,CONFIDENTIAL,a423865c67db70729bb5a6cc953276382775ea2ae5dc382cf9124b6322a93869
