wallet_address,EmployeeID,Name,Department,Role,Attendance (%),WorkHours (avg/week),PerformanceScore (0–100),ProjectCompletionRate (%),BehaviourScore (0–100),SkillScore (0–100),ExperienceYears,TrainingCompleted (Yes/No),CertificationsCount,ReputationScore (weighted composite),AppraisalEligibility (Yes/No),PreviousAppraisals,EmployeeWalletAddress,ReviewerWalletAddress,DAOEligible (Yes/No),appraisal_year,eligible,sbt_token_id,zk_proof_hash,hr_signature,BaseSalary_masked,ProposedSalaryIncrement (%)_masked,zk_input_commitment
0xcf37173bcc4a4b8d738c47b3eefe060b3dda9e52,EMP1000,RBDBD RBDAML,HR,Lead,64,47,3,90,74,58,7,No,2,33.6,No,2,0x665688320c63f76ae4b19cb5965d395e1deb1dd6,0xe3d9c08cdd3bf83cd2067e8108bdd0d959f55112,No,2026,False,1,zkproof_0001_hash,HR_SIGN_0001,CONFIDENTIAL,CONFIDENTIAL,23d4ea39956f80cf4ea540cdb9c70e2424bb2eaa159b8bb17c98e250bb7d8921
0x8a975e5a8fe756485316bcf76d270eae03b84777,EMP1002,LZIUC ZGQVHQ,Operations,Developer,88,34,5,81,66,52,13,Yes,4,31.2,No,0,0xc5e8e973c56f11ea5c8c11a76fef6477dfeb1a3c,0x1b9bd687a025c90b7e8f1689eaad48a031f5282e,No,2026,False,3,zkproof_0003_hash,HR_SIGN_0003,CONFIDENTIAL,CONFIDENTIAL,518b5f6ddf671a8b5dad023f4badb67359dcf5b32eb63015484de6fdf77e0f45
0x84d62ce0f94277fd07d92f7deafde7a3e3c029bc,EMP1004,TZZCY YUUWGJ,Marketing,Coordinator,87,48,22,91,83,91,9,No,6,53.3,No,2,0x9869c70ae2668102de89b45ad98c93acc3923e60,0x45eadadca969d0128a0f948907be80d26635435b,No,2026,False,5,zkproof_0005_hash,HR_SIGN_0005,CONFIDENTIAL,CONFIDENTIAL,bd4464867a5b80236cf72a9ad0da8377383239e97dcbf7d4293a084c8726e273
0xbd008615f8bef68b7c70b92a77907a65256d9f0c,EMP1007,ZDZMJ KJKHLN,Finance,Developer,60,36,40,81,63,75,16,No,3,51.4,No,3,0xc854ef12d4c120c432235efde173697211514430,0x6de2321f31454eb61c7b714aebd5e8934f4d4e6b,No,2026,False,8,zkproof_0008_hash,HR_SIGN_0008,CONFIDENTIAL,CONFIDENTIAL,4c905d0f67b2dd9f5e6034c7b1722c1575ae8a22873fb5d14482cb439d2886b4
0x2172c627fb736153b37c0c0c0d0c4e54fb3a9970,EMP1009,NKPZN AJIZAF,Operations,Developer,87,30,45,69,93,67,5,No,8,57.5,No,1,0xcbf79783dbb54f36b03e1bbe8cdb429c52ae4abb,0xd9ff66f1b1922ecfbe520e579e3aab116936f88c,No,2026,False,10,zkproof_0010_hash,HR_SIGN_0010,CONFIDENTIAL,CONFIDENTIAL,7a347e873465e0e7b77c3e677009b144cb0f6b62a421fd91185501bb618eaffc
0xfdd94882905cc00e478aefe72244425b428beed3,EMP1013,AJQBU UVATIY,Finance,Engineer,94,54,6,43,77,90,23,Yes,3,45.1,No,2,0xd5f62f03cd8b4d20ec436502e3567b73f665ffdc,0xd226feaba29c7fa8841d7a5ece0f5f713330cae8,No,2026,False,14,zkproof_0014_hash,HR_SIGN_0014,CONFIDENTIAL,CONFIDENTIAL,17499cc2d3989dbadae65ebb9e46d2b9a65e849ca0f8f08b787d60e37ab07a33
0x50a12cc82abfd949d486ba9f21abb3885065cc90,EMP1014,ZOEUJ UKCDVP,Engineering,Manager,67,58,40,71,80,70,12,No,3,53.3,No,2,0xbf775b6ba57b56614619a2c0c679685a03bddf92,0xb1d8fc2d36676f0d6ee7b0c10483a8558b74f672,No,2026,False,15,zkproof_0015_hash,HR_SIGN_0015,CONFIDENTIAL,CONFIDENTIAL,a208f7af714557e6b70670deb4586cf1294ce49edbcaf0642885878b02b86cd8
0x2366c9db986abd2dbf82beb4dbee20f4db3806da,EMP1016,LICCB SJMQDG,Finance,Analyst,62,50,32,65,83,80,2,Yes,1,53.5,No,4,0x2dfd87091aeb53b8ef353239d336b7bb9bffbde0,0x4f5f3b40e50d849466165a738c92b2677d82a081,No,2026,False,17,zkproof_0017_hash,HR_SIGN_0017,CONFIDENTIAL,CONFIDENTIAL,9da83d77eab933d51b7207544720b7e76a3f53522892190c4f9554f864e8de50
0x9ce7c6db2b9401402f8e0b1811f8101500a3ebff,EMP1019,IEQXD HYMVUI,HR,Developer,95,31,31,78,73,44,23,Yes,2,40.4,No,3,0xa7a852c3dc229e8eed09622c90faebb9496d8cf4,0xff7c4d55aa39f435b75a578182e7b0e14a1be607,No,2026,False,20,zkproof_0020_hash,HR_SIGN_0020,CONFIDENTIAL,CONFIDENTIAL,407f62d3ea0f0f52bd46e4831c369cf00c523d2f753e2f995e3df106b9a56dc9
0xb2a27faa0d4475e0d1af0912c8e146f22f280a4e,EMP1020,HQOXF APXDCH,R&D,Coordinator,93,39,42,42,85,83,18,Yes,2,58.9,No,3,0x072fe9a3ebb880b7cd094e6f90cf4f62dd6bdff7,0x5b757f968a003154a21a4e49b38196aa18e2466c,No,2026,False,21,zkproof_0021_hash,HR_SIGN_0021,CONFIDENTIAL,CONFIDENTIAL,bbeb4c6f8440ff1df4ffdac1b07fc717241c6f4e7a40371cede9c625addbc91b
0x52583f00d78bc593a19553bbad1ee7cf2ce94c55,EMP1022,SPWSZ POYIBB,Marketing,Coordinator,86,39,13,59,92,44,19,Yes,8,37.6,No,4,0x6aa20500ca302c2eafe28530478859480d8dc3f1,0xc72a7a74fc1c8590966b8d0ed5a4a37874a34504,No,2026,False,23,zkproof_0023_hash,HR_SIGN_0023,CONFIDENTIAL,CONFIDENTIAL,96316318eed59239cd5e628a018483c648e32bb55273fe77830efff911ebf91c
0x746a7979a70fc443ff39244876adde53b87df1dc,EMP1024,RZVIL FFCIGU,Finance,Manager,78,41,23,99,79,91,10,No,0,52.3,No,3,0xeecd50d4dc5ba322f6185701bd045a53fa70e538,0xb07196657ac3825b83f4a845f21ff258deaad914,No,2026,False,25,zkproof_0025_hash,HR_SIGN_0025,CONFIDENTIAL,CONFIDENTIAL,990b99a204ef3586793c88a97334bc4ac6a79d81011ef4aa50812c7c4bd2752a
0x3cf16888cef51f334974a627a6ffc3fcbebe0cad,EMP1025,UJVOE ZJUYXQ,HR,Lead,89,33,43,78,94,62,15,No,5,55.1,No,3,0x9f870fc1f39e3d01fd8820e888f0c71d21b35e3c,0x81345fd7acfeb8c2d4d528daa38904bc1b13f4b0,No,2026,False,26,zkproof_0026_hash,HR_SIGN_0026,CONFIDENTIAL,CONFIDENTIAL,bc2fe81044fd1396118dd367c9f196ebd26852f3658258ab976801affb9e86a7
0x6eb7f66ea5cf30edc07cc1b1a42be1497ec17bb0,EMP1026,AJRKH QCGGZM,Engineering,Analyst,94,48,40,98,88,96,13,No,0,62.4,No,2,0x4a690164fccf9adc80adcfac6d3ea8d9f951a7fc,0x5d266fa037a4b0c7cc092be97789213ebd90ed06,No,2026,False,27,zkproof_0027_hash,HR_SIGN_0027,CONFIDENTIAL,CONFIDENTIAL,ad0fd6808efe99b451f5a75997f07e1e7eb4ae7b1786ea426c133ea897b77a0b
0x41bb362ee9bad17cc59dc4e5e24e8d01286d771d,EMP1028,TPRDP SUOXBE,IT,Analyst,82,40,21,63,70,63,15,No,1,41.4,No,3,0x27e9de8821b10f676a5806cee53d64cb0a9c2f8d,0x13121df5796cee3c1b2f245515532835d7c8b072,No,2026,False,29,zkproof_0029_hash,HR_SIGN_0029,CONFIDENTIAL,CONFIDENTIAL,202f07fb0ddb33cd12193023426c7c90a8f24f40ecc1b0c6fd456d9f940ef7bd
0x1b5c864b0f93fa62e4ac8f1f8e4c38a8cd0165a7,EMP1029,GVBKN YRBRXW,Engineering,Developer,90,46,46,68,79,73,22,Yes,6,56.7,No,4,0x55931362a324bcafb500a21da52878add532c144,0xb58c9f0b0ca5fb1314f4658a5dbbf7ecd86ddd9b,No,2026,False,30,zkproof_0030_hash,HR_SIGN_0030,CONFIDENTIAL,CONFIDENTIAL,f3b5428fc3c97a39eb0ecec8ebf3fa5a60666b53e8faf3ce15d5dd5c2adffb4e
0x3491de4509b8ed3418f902ca28bd85e053a0cbd4,EMP1031,EJLSX QTGZBV,Engineering,Intern,85,59,18,69,71,84,1,Yes,7,47.3,No,0,0x454182d25c536168b1b5d2160a2510e7c22df793,0xcd81c6e076da51d7f02c857656e45d39721f9ca7,No,2026,False,32,zkproof_0032_hash,HR_SIGN_0032,CONFIDENTIAL,CONFIDENTIAL,7c4a1b83471efa8eaf4297a122ba3a373676744126234f1efc171f1226afe191
0xb4cd1bb4b1b430584cb3f3396684634fcc7dc790,EMP1033,KHMOT KTBJLJ,Finance,Developer,87,32,42,64,62,94,24,Yes,3,57.7,No,1,0x7ce2aa2cc11432d01ab9f9316146c102f18e2800,0xb776875cbcaa93b3d062111cb01aeaa2cf5e95e4,No,2026,False,34,zkproof_0034_hash,HR_SIGN_0034,CONFIDENTIAL,CONFIDENTIAL,a16d18e014384d199575cedc99e0e090fd0ff025e183e0d4a591959e5899ce47
0x309dbaf116e48421658e62d7c7109f01a525d09f,EMP1040,VSBYO VVGAPV,Marketing,Coordinator,95,40,2,41,68,73,23,Yes,2,36.5,No,0,0xdc06ada4e0e49dc8c070fad4c11ec10dcb6d3788,0xab2df1069133def52e46d9607f59bd9a530a1325,No,2026,False,41,zkproof_0041_hash,HR_SIGN_0041,CONFIDENTIAL,CONFIDENTIAL,6f45ef0cab861ca24428dfa22e627de6b5a6d039a1b11b2abe0350846f102c38
